0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/plugin/chartist-plugin-tooltip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/jquery.mapael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chartist/chartist.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-mapael/maps/world_countries.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/chart-circle/circles.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/ready.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:27 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:28 +0530] "GET /SecurePrivateCloudNew/theme/assets/img/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:28 +0530] "GET /SecurePrivateCloudNew/theme/assets/img/menu2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:28 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:28 +0530] "GET /SecurePrivateCloudNew/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:34 +0530] "GET /SecurePrivateCloudNew/tiles/ajax.jsp?methodId=logout HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [18/Jul/2020:19:54:34 +0530] "GET /SecurePrivateCloudNew/pages/login.jsp HTTP/1.1" 200 5349
